FILE,WATCHED,CUT,SOUND,HISS,MOVEMENT,NOISE,WEIRD
52_2_trial_55_p1_klein_geluiden_c1_final.avi,1,0,0,0,0,0,0
52_2_trial_77_p0_zuigen_combinatie_c0_final.avi,1,1,0,0,0,0,0
52_2_trial_95_p1_staan_combinatie_c0_final.avi,1,0,0,0,0,0,0
52_2_trial_96_p1_staan_combinatie_c1_final.avi,1,0,0,0,0,0,0
53_2_trial_38_p0_vogel_geluiden_c0_final.avi,1,1,0,0,0,0,0
53_2_trial_41_p0_bitter_geluiden_c0_final.avi,1,1,0,0,0,0,0
53_2_trial_43_p0_bitter_geluiden_c2_final.avi,1,1,0,0,0,0,0
53_2_trial_45_p0_geur_geluiden_c0_final.avi,1,1,0,0,0,0,0
53_2_trial_46_p0_geur_geluiden_c1_final.avi,1,0,0,0,0,0,0
53_2_trial_62_p1_stil_geluiden_c0_final.avi,1,1,0,0,0,0,0
53_2_trial_83_p0_zwaar_combinatie_c1_final.avi,1,1,0,0,0,0,0
54_1_trial_16_p1_ademen_gebaren_final.avi,1,1,0,0,0,0,0
54_1_trial_33_p1_springen_geluiden_final.avi,1,0,0,0,0,0,0
55_2_trial_6_p0_langzaam_gebaren_c0_final.avi,1,1,0,0,0,0,0
55_2_trial_7_p0_langzaam_gebaren_c1_final.avi,1,1,0,0,0,0,0
56_1_trial_14_p1_langzaam_combinatie_final.avi,1,1,0,0,0,0,0
56_1_trial_40_p0_scherp_geluiden_final.avi,1,1,0,0,0,0,0
56_1_trial_41_p0_stil_geluiden_final.avi,1,1,0,0,0,0,0
56_1_trial_42_p0_vallen_geluiden_final.avi,1,1,0,0,0,0,0
56_1_trial_47_p1_koud_geluiden_final.avi,1,1,0,0,0,0,0
56_1_trial_48_p1_walgen_geluiden_final.avi,1,1,0,0,0,0,0
56_1_trial_49_p1_hond_geluiden_final.avi,1,1,0,0,0,0,0
56_1_trial_50_p1_oud_geluiden_final.avi,1,1,0,0,0,0,0
56_1_trial_53_p1_zoet_geluiden_final.avi,1,1,0,0,0,0,0
56_2_trial_61_p0_jagen_gebaren_c0_final.avi,1,0,,,,,
57_1_trial_38_p0_ik_geluiden_final.avi,1,0,0,0,0,0,0
57_1_trial_40_p0_zout_geluiden_final.avi,1,1,0,0,0,0,0
57_1_trial_41_p0_piepen_geluiden_final.avi,1,1,0,0,0,0,0
57_1_trial_43_p0_vliegen_geluiden_final.avi,1,1,0,0,0,0,0
57_1_trial_48_p1_heet_geluiden_final.avi,1,1,0,0,0,0,0
57_1_trial_51_p1_kauwen_geluiden_final.avi,1,1,0,0,0,0,0
57_1_trial_52_p1_grommen_geluiden_final.avi,1,1,0,0,0,0,0
58_2_trial_100_p1_blij_geluiden_c0_final.avi,1,1,0,0,0,0,0
58_2_trial_56_p1_kind_combinatie_c2_final.avi,1,1,0,0,0,0,0
58_2_trial_57_p1_zwaar_combinatie_c0_final.avi,1,1,0,0,0,0,0
58_2_trial_74_p0_groot_geluiden_c2_final.avi,1,0,0,0,0,0,0
58_2_trial_76_p0_dood_geluiden_c1_final.avi,1,0,0,0,0,0,0
58_2_trial_80_p0_regen_geluiden_c0_final.avi,1,0,0,0,0,0,0
59_2_trial_53_p1_dood_geluiden_c2_final.avi,1,1,0,0,0,0,0
59_2_trial_54_p1_blij_geluiden_c0_final.avi,1,1,0,0,0,0,0
59_2_trial_56_p1_geur_geluiden_c1_final.avi,1,1,0,0,0,0,0
59_2_trial_57_p1_geur_geluiden_c2_final.avi,1,1,0,0,0,0,0
59_2_trial_58_p1_bang_geluiden_c0_final.avi,1,1,0,0,0,0,0
