Time,TrialID,RWrist_speed_event,RHip_speed_event,RAnkle_speed_event,RBigToe_speed_event,LBigToe_speed_event,LHeel_speed_event,RKnee_speed_event,RElbow_speed_event,Head_speed_event,LKnee_speed_event,LElbow_speed_event,LWrist_speed_event,Neck_speed_event,LShoulder_speed_event,LHip_speed_event,RSmallToe_speed_event,RHeel_speed_event,LSmallToe_speed_event,LAnkle_speed_event,RShoulder_speed_event,Nose_speed_event,RWrist_vert_vel_movement_event,LWrist_vert_vel_movement_event
1566.666666666666,0_2_34_p1,movement,movement,movement,nomovement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1583.3333333333326,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1599.999999999999,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1616.6666666666658,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1633.3333333333323,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1649.999999999999,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1666.6666666666656,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1683.3333333333323,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1699.9999999999989,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1716.6666666666656,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1733.333333333332,0_2_34_p1,movement,movement,movement,movement,nomovement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1749.9999999999989,0_2_34_p1,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1766.6666666666654,0_2_34_p1,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1783.333333333332,0_2_34_p1,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement
1799.9999999999984,0_2_34_p1,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1816.6666666666647,0_2_34_p1,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
1833.333333333332,0_2_34_p1,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,movement,nomovement
